attributeConfigurationNumber,modelName,numSimultaneousQueries,contextLevel,jsonResults,commonNameErrorRate,differenceToThinkingKey,avgInputTokens,avgOutputTokens,queriedSpecies,status
0,Qwen/Qwen2.5-0.5B-Instruct,1,0,,1.0,1.0,475.0,240.0,"[{""sex"": ""male"", ""speciesName"": ""Sitta canadensis""}]",ok
0,Qwen/Qwen2.5-0.5B-Instruct,1,1,,1.0,1.0,623.0,240.0,"[{""sex"": ""male"", ""speciesName"": ""Icterus galbula""}]",ok
0,Qwen/Qwen2.5-0.5B-Instruct,1,4,,1.0,1.0,761.0,240.0,"[{""sex"": ""female"", ""speciesName"": ""Setophaga coronata auduboni""}]",ok
0,Qwen/Qwen2.5-0.5B-Instruct,1,8,,1.0,1.0,1076.0,240.0,"[{""sex"": ""male"", ""speciesName"": ""Haemorhous purpureus""}]",ok
0,Qwen/Qwen2.5-0.5B-Instruct,8,0,,1.0,1.0,75.5,87.5,"[{""sex"": ""female"", ""speciesName"": ""Tachycineta thalassina""}, {""sex"": ""male"", ""speciesName"": ""Toxostoma rufum""}, {""sex"": ""female"", ""speciesName"": ""Coccothraustes vespertinus""}, {""sex"": ""male"", ""speciesName"": ""Cyanerpes cyaneus""}, {""sex"": ""male"", ""speciesName"": ""Loxia curvirostra""}, {""sex"": ""male"", ""speciesName"": ""Progne subis arboricola""}, {""sex"": ""male"", ""speciesName"": ""Diglossa baritula""}, {""sex"": ""male"", ""speciesName"": ""Setophaga pensylvanica""}]",ok
0,Qwen/Qwen2.5-0.5B-Instruct,8,1,,1.0,1.0,149.375,87.5,"[{""sex"": ""male"", ""speciesName"": ""Molothrus ater""}, {""sex"": ""male"", ""speciesName"": ""Diglossa baritula""}, {""sex"": ""female"", ""speciesName"": ""Pipilo erythrophthalmus""}, {""sex"": ""female"", ""speciesName"": ""Sialia currucoides""}, {""sex"": ""male"", ""speciesName"": ""Leiothlypis ruficapilla""}, {""sex"": ""male"", ""speciesName"": ""Coccothraustes vespertinus""}, {""sex"": ""male"", ""speciesName"": ""Dumetella carolinensis""}, {""sex"": ""male"", ""speciesName"": ""Mniotilta varia""}]",ok
0,Qwen/Qwen2.5-0.5B-Instruct,8,4,,1.0,1.0,282.125,87.5,"[{""sex"": ""male"", ""speciesName"": ""Sialia mexicana""}, {""sex"": ""male"", ""speciesName"": ""Vermivora chrysoptera""}, {""sex"": ""female"", ""speciesName"": ""Setophaga fusca""}, {""sex"": ""female"", ""speciesName"": ""Setophaga striata""}, {""sex"": ""male"", ""speciesName"": ""Icterus abeillei""}, {""sex"": ""male"", ""speciesName"": ""Bombycilla cedrorum""}, {""sex"": ""female"", ""speciesName"": ""Ramphocelus passerinii""}, {""sex"": ""female"", ""speciesName"": ""Cyanerpes cyaneus""}]",ok
0,Qwen/Qwen2.5-0.5B-Instruct,8,8,,1.0,1.0,416.625,87.5,"[{""sex"": ""female"", ""speciesName"": ""Junco hyemalis""}, {""sex"": ""male"", ""speciesName"": ""Auriparus flaviceps""}, {""sex"": ""male"", ""speciesName"": ""Thryothorus ludovicianus""}, {""sex"": ""male"", ""speciesName"": ""Passer domesticus domesticus""}, {""sex"": ""male"", ""speciesName"": ""Setophaga magnolia""}, {""sex"": ""male"", ""speciesName"": ""Setophaga pinus""}, {""sex"": ""male"", ""speciesName"": ""Sialia mexicana""}, {""sex"": ""male"", ""speciesName"": ""Icterus wagleri""}]",ok
0,Qwen/Qwen2.5-0.5B-Instruct,16,0,,1.0,1.0,46.25,75.0,"[{""sex"": ""female"", ""speciesName"": ""Acanthis flammea""}, {""sex"": ""female"", ""speciesName"": ""Icterus galbula""}, {""sex"": ""female"", ""speciesName"": ""Pipilo maculatus""}, {""sex"": ""male"", ""speciesName"": ""Setophaga petechia""}, {""sex"": ""male"", ""speciesName"": ""Leiothlypis celata""}, {""sex"": ""male"", ""speciesName"": ""Diglossa baritula""}, {""sex"": ""female"", ""speciesName"": ""Junco hyemalis""}, {""sex"": ""male"", ""speciesName"": ""Setophaga fusca""}, {""sex"": ""male"", ""speciesName"": ""Vermivora cyanoptera""}, {""sex"": ""male"", ""speciesName"": ""Setophaga castanea""}, {""sex"": ""female"", ""speciesName"": ""Piranga bidentata""}, {""sex"": ""male"", ""speciesName"": ""Calamospiza melanocorys""}, {""sex"": ""male"", ""speciesName"": ""Setophaga pensylvanica""}, {""sex"": ""female"", ""speciesName"": ""Quiscalus major""}, {""sex"": ""female"", ""speciesName"": ""Coccothraustes vespertinus""}, {""sex"": ""male"", ""speciesName"": ""Loxia curvirostra""}]",ok
0,Qwen/Qwen2.5-0.5B-Instruct,16,1,,1.0,1.0,98.1875,75.0,"[{""sex"": ""male"", ""speciesName"": ""Icterus abeillei""}, {""sex"": ""male"", ""speciesName"": ""Pachyramphus aglaiae""}, {""sex"": ""female"", ""speciesName"": ""Dolichonyx oryzivorus""}, {""sex"": ""male"", ""speciesName"": ""Molothrus ater""}, {""sex"": ""male"", ""speciesName"": ""Setophaga palmarum""}, {""sex"": ""male"", ""speciesName"": ""Junco hyemalis""}, {""sex"": ""male"", ""speciesName"": ""Bombycilla cedrorum""}, {""sex"": ""male"", ""speciesName"": ""Leiothlypis peregrina""}, {""sex"": ""male"", ""speciesName"": ""Icterus wagleri""}, {""sex"": ""female"", ""speciesName"": ""Pheucticus ludovicianus""}, {""sex"": ""female"", ""speciesName"": ""Quiscalus major""}, {""sex"": ""male"", ""speciesName"": ""Passer domesticus""}, {""sex"": ""male"", ""speciesName"": ""Setophaga citrina""}, {""sex"": ""female"", ""speciesName"": ""Corthylio calendula""}, {""sex"": ""male"", ""speciesName"": ""Pipilo maculatus""}, {""sex"": ""male"", ""speciesName"": ""Setophaga americana""}]",ok
0,Qwen/Qwen2.5-0.5B-Instruct,16,4,,1.0,1.0,216.5,75.0,"[{""sex"": ""male"", ""speciesName"": ""Regulus satrapa""}, {""sex"": ""male"", ""speciesName"": ""Zonotrichia leucophrys""}, {""sex"": ""male"", ""speciesName"": ""Icterus wagleri""}, {""sex"": ""female"", ""speciesName"": ""Pipilo erythrophthalmus""}, {""sex"": ""female"", ""speciesName"": ""Spinus tristis""}, {""sex"": ""male"", ""speciesName"": ""Ixoreus naevius""}, {""sex"": ""male"", ""speciesName"": ""Quiscalus major""}, {""sex"": ""female"", ""speciesName"": ""Pipilo maculatus""}, {""sex"": ""female"", ""speciesName"": ""Passerina caerulea""}, {""sex"": ""male"", ""speciesName"": ""Turdus migratorius""}, {""sex"": ""male"", ""speciesName"": ""Bombycilla cedrorum""}, {""sex"": ""male"", ""speciesName"": ""Euphonia hirundinacea""}, {""sex"": ""female"", ""speciesName"": ""Haemorhous purpureus""}, {""sex"": ""female"", ""speciesName"": ""Hirundo rustica""}, {""sex"": ""male"", ""speciesName"": ""Ramphocelus dimidiatus""}, {""sex"": ""male"", ""speciesName"": ""Pachyramphus aglaiae""}]",ok
0,Qwen/Qwen2.5-0.5B-Instruct,16,8,,1.0,1.0,256.0,75.0,"[{""sex"": ""male"", ""speciesName"": ""Sporophila torqueola""}, {""sex"": ""female"", ""speciesName"": ""Cardellina pusilla""}, {""sex"": ""male"", ""speciesName"": ""Icterus spurius""}, {""sex"": ""female"", ""speciesName"": ""Setophaga coronata auduboni""}, {""sex"": ""male"", ""speciesName"": ""Bombycilla cedrorum""}, {""sex"": ""male"", ""speciesName"": ""Melanospiza bicolor""}, {""sex"": ""female"", ""speciesName"": ""Haemorhous mexicanus""}, {""sex"": ""male"", ""speciesName"": ""Mniotilta varia""}, {""sex"": ""female"", ""speciesName"": ""Pyrocephalus rubinus""}, {""sex"": ""male"", ""speciesName"": ""Sturnella magna""}, {""sex"": ""male"", ""speciesName"": ""Manacus candei""}, {""sex"": ""female"", ""speciesName"": ""Quiscalus quiscula""}, {""sex"": ""female"", ""speciesName"": ""Xanthocephalus xanthocephalus""}, {""sex"": ""male"", ""speciesName"": ""Cyanerpes cyaneus""}, {""sex"": ""female"", ""speciesName"": ""Setophaga magnolia""}, {""sex"": ""female"", ""speciesName"": ""Quiscalus major""}]",ok
0,Qwen/Qwen2.5-3B-Instruct,8,4,,1.0,1.0,512.0,40.0,"[{""sex"": ""male"", ""speciesName"": ""Sialia mexicana""}, {""sex"": ""male"", ""speciesName"": ""Vermivora chrysoptera""}, {""sex"": ""female"", ""speciesName"": ""Setophaga fusca""}, {""sex"": ""female"", ""speciesName"": ""Setophaga striata""}, {""sex"": ""male"", ""speciesName"": ""Icterus abeillei""}, {""sex"": ""male"", ""speciesName"": ""Bombycilla cedrorum""}, {""sex"": ""female"", ""speciesName"": ""Ramphocelus passerinii""}, {""sex"": ""female"", ""speciesName"": ""Cyanerpes cyaneus""}]",ok
0,Qwen/Qwen2.5-3B-Instruct,8,8,,1.0,1.0,0.0,0.0,"[{""sex"": ""female"", ""speciesName"": ""Junco hyemalis""}, {""sex"": ""male"", ""speciesName"": ""Auriparus flaviceps""}, {""sex"": ""male"", ""speciesName"": ""Thryothorus ludovicianus""}, {""sex"": ""male"", ""speciesName"": ""Passer domesticus domesticus""}, {""sex"": ""male"", ""speciesName"": ""Setophaga magnolia""}, {""sex"": ""male"", ""speciesName"": ""Setophaga pinus""}, {""sex"": ""male"", ""speciesName"": ""Sialia mexicana""}, {""sex"": ""male"", ""speciesName"": ""Icterus wagleri""}]",skipped_local_vram_limit
